File,LineNumber,src
activemq-console/src/main/java/org/apache/activemq/console/command/StartCommand.java,96,            waitForShutdown();
activemq-console/src/main/java/org/apache/activemq/console/command/StartCommand.java,127,                synchronized (shutdown) {
activemq-console/src/main/java/org/apache/activemq/console/command/StartCommand.java,128,                    shutdown[0] = true;
activemq-console/src/main/java/org/apache/activemq/console/command/StartCommand.java,129,                    shutdown.notify();
activemq-console/src/main/java/org/apache/activemq/console/command/StartCommand.java,144,        // Stop each broker
activemq-console/src/main/java/org/apache/activemq/console/command/StartCommand.java,145,        for (Iterator<BrokerService> i = brokers.iterator(); i.hasNext();) {
activemq-console/src/main/java/org/apache/activemq/console/command/StartCommand.java,146,            BrokerService broker = i.next();
activemq-console/src/main/java/org/apache/activemq/console/command/StartCommand.java,147,            broker.stop();
activemq-console/src/main/java/org/apache/activemq/console/command/StartCommand.java,148,        }
activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java,173,
activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java,174,
activemq-core/src/main/java/org/apache/activemq/store/jdbc/JDBCPersistenceAdapter.java,476,"            LOG.warn(""Failed to stop broker"");"
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,960,             }
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1125,            synchronized (this.consumers) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1126,                consumers = new ArrayList<Subscription>(this.consumers);
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1127,            }
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1129,            for (MessageReference node : list) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1130,                Subscription target = null;
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1131,                List<Subscription> targets = null;
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1132,                for (Subscription s : consumers) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1133,"                    if (dispatchSelector.canSelect(s, node)) {"
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1134,                        if (!s.isFull()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1135,                            s.add(node);
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1136,                            target = s;
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1137,                            break;
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1138,                        } else {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1139,                            if (targets == null) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1140,                                targets = new ArrayList<Subscription>();
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1142,                            targets.add(s);
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1145,                }
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1146,                if (target == null && targets != null) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1147,                    // pick the least loaded to add the message too
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1148,                    for (Subscription s : targets) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1149,                        if (target == null
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1150,                                || target.getInFlightUsage() > s
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1151,                                        .getInFlightUsage()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1152,                            target = s;
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1155,                    if (target != null) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1156,                        target.add(node);
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1157,                    }
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1158,                }
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1159,                if (target != null && !strictOrderDispatch && consumers.size() > 1 &&
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1160,                         !dispatchSelector.isExclusiveConsumer(target)) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1161,                    synchronized (this.consumers) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1162,                        if( removeFromConsumerList(target) ) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1163,                            addToConsumerList(target);
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1164,                            consumers = new ArrayList<Subscription>(this.consumers);
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1168,
activemq-core/src/main/java/org/apache/activemq/store/amq/AMQPersistenceAdapter.java,416,            Set<Integer> inUse = referenceStoreAdapter.getReferenceFileIdsInUse();
activemq-core/src/main/java/org/apache/activemq/command/Message.java,137,        // copying the broker path breaks networks - if a consumer re-uses a
activemq-core/src/main/java/org/apache/activemq/command/Message.java,138,        // consumed
activemq-core/src/main/java/org/apache/activemq/command/Message.java,139,        // message and forwards it on
activemq-core/src/main/java/org/apache/activemq/command/Message.java,140,        // copy.brokerPath = brokerPath;
activemq-core/src/main/java/org/apache/activemq/network/DemandForwardingBridgeSupport.java,391,    protected void serviceRemoteCommand(Command command) {
activemq-core/src/main/java/org/apache/activemq/network/DemandForwardingBridgeSupport.java,594,                            remoteBroker.oneway(message);
activemq-core/src/main/java/org/apache/activemq/network/DemandForwardingBridgeSupport.java,596,                            dequeueCounter.incrementAndGet();
activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,444,            //closing the socket can hang also
activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,445,            final CountDownLatch latch = new CountDownLatch(1);
activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,446,            SOCKET_CLOSE.execute(new Runnable() {
activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,447,
activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,448,                public void run() {
activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,449,                    try {
activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,450,                        socket.close();
activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,451,                    } catch (IOException e) {
activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,452,"                        LOG.debug(""Caught exception closing socket"",e);"
activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,453,                    }finally {
activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,454,                        latch.countDown();
activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,457,
activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,458,            });
activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransport.java,459,"            latch.await(1,TimeUnit.SECONDS);"
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,31,    private int firstBin = -1;
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,57,        boolean answer = true;
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,64,            if (value) {
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,65,            }else {
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,66,            }
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,120,            if (firstIndex < 0) {
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,121,                firstIndex = 0;
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,122,            }
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,123,            if (bin >= list.size()) {
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,124,                list.removeFirst();
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,125,                firstIndex += BitArray.LONG_SIZE;
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,126,                list.add(new BitArray());
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,127,                bin = list.size() - 1;
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,146,        if (firstBin < 0) {
activemq-core/src/main/java/org/apache/activemq/util/BitArrayBin.java,147,            firstBin = 0;
activemq-core/src/test/java/org/apache/activemq/ActiveMQMessageAuditTest.java,70,        for (String id : list) {
activemq-core/src/test/java/org/apache/activemq/ActiveMQMessageAuditTest.java,71,            assertTrue(audit.isDuplicate(id));
activemq-core/src/test/java/org/apache/activemq/ActiveMQMessageAuditTest.java,93,        for (MessageReference msg : list) {
activemq-core/src/test/java/org/apache/activemq/ActiveMQMessageAuditTest.java,94,            assertTrue(audit.isDuplicate(msg));
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1065,        synchronized (messages) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1066,            messages.addMessageLast(msg);
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1067,        }
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,96,    public synchronized boolean isEmpty() {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,97,        if(memoryList.isEmpty() && isDiskListEmpty()){
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,98,            return true;
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,99,        }
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,100,        for (Iterator<MessageReference> iterator = memoryList.iterator(); iterator.hasNext();) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,101,            MessageReference node = iterator.next();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,102,            if (node== QueueMessageReference.NULL_MESSAGE){
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,103,                continue;
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,105,            if (!node.isDropped()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,106,                return false;
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,108,            // We can remove dropped references.
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,109,            iterator.remove();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,119,    public synchronized void reset() {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,120,        iterating = true;
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,121,        last = null;
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,122,        iter = isDiskListEmpty() ? memoryList.iterator() : getDiskList().listIterator();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,125,    public synchronized void release() {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,126,        iterating = false;
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,127,        if (flushRequired) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,128,            flushRequired = false;
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,129,            flushToDisk();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,133,    public synchronized void destroy() throws Exception {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,134,        stop();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,135,        for (Iterator<MessageReference> i = memoryList.iterator(); i.hasNext();) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,136,            Message node = (Message)i.next();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,137,            node.decrementReferenceCount();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,138,        }
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,139,        memoryList.clear();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,140,        if (!isDiskListEmpty()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,141,            getDiskList().clear();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,145,    public synchronized LinkedList<MessageReference> pageInList(int maxItems) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,146,        LinkedList<MessageReference> result = new LinkedList<MessageReference>();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,148,        for (Iterator<MessageReference> i = memoryList.iterator(); i.hasNext() && count < maxItems;) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,149,            result.add(i.next());
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,150,            count++;
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,151,        }
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,152,        if (count < maxItems && !isDiskListEmpty()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,153,            for (Iterator<MessageReference> i = getDiskList().iterator(); i.hasNext() && count < maxItems;) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,154,                Message message = (Message)i.next();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,155,                message.setRegionDestination(regionDestination);
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,156,                message.setMemoryUsage(this.getSystemUsage().getMemoryUsage());
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,157,                message.incrementReferenceCount();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,158,                result.add(message);
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,170,    public synchronized void addMessageLast(MessageReference node) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,173,                regionDestination = node.getMessage().getRegionDestination();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,174,                if (isDiskListEmpty()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,175,                    if (hasSpace() || this.store==null) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,176,                        memoryList.add(node);
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,177,                        node.incrementReferenceCount();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,178,                        return;
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,180,                }
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,181,                if (!hasSpace()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,183,                        expireOldMessages();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,184,                        if (hasSpace()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,188,                        } else {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,189,                            flushToDisk();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,193,                systemUsage.getTempUsage().waitForSpace();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,194,                getDiskList().add(node);
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,195,
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,198,"                        + "" first to FilePendingMessageCursor "", e);"
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,211,    public synchronized void addMessageFirst(MessageReference node) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,214,                regionDestination = node.getMessage().getRegionDestination();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,215,                if (isDiskListEmpty()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,216,                    if (hasSpace()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,217,                        memoryList.addFirst(node);
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,218,                        node.incrementReferenceCount();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,219,                        return;
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,221,                }
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,222,                if (!hasSpace()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,224,                        expireOldMessages();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,229,                        } else {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,230,                            flushToDisk();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,234,                systemUsage.getTempUsage().waitForSpace();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,235,                node.decrementReferenceCount();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,236,                getDiskList().addFirst(node);
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,247,
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,251,    public synchronized boolean hasNext() {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,252,        return iter.hasNext();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,258,    public synchronized MessageReference next() {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,259,        Message message = (Message)iter.next();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,260,        last = message;
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,261,        if (!isDiskListEmpty()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,262,            // got from disk
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,263,            message.setRegionDestination(regionDestination);
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,264,            message.setMemoryUsage(this.getSystemUsage().getMemoryUsage());
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,265,            message.incrementReferenceCount();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,273,    public synchronized void remove() {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,274,        iter.remove();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,275,        if (last != null) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,276,         last.decrementReferenceCount();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,284,    public synchronized void remove(MessageReference node) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,285,        if (memoryList.remove(node)) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,286,         node.decrementReferenceCount();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,287,        }
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,288,        if (!isDiskListEmpty()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,289,            getDiskList().remove(node);
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,296,    public synchronized int size() {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,297,        return memoryList.size() + (isDiskListEmpty() ? 0 : getDiskList().size());
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,303,    public synchronized void clear() {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,304,        memoryList.clear();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,305,        if (!isDiskListEmpty()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,306,            getDiskList().clear();
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,308,        last=null;
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/FilePendingMessageCursor.java,311,    public synchronized boolean isFull() {
