File,LineNumber,src
camel-core/src/main/java/org/apache/camel/model/ProcessorDefinition.java,1009,        if (getOutputs().isEmpty()) {
components/camel-test-blueprint/src/test/java/org/apache/camel/test/blueprint/DebugBlueprintTest.java,31,
components/camel-test-blueprint/src/test/java/org/apache/camel/test/blueprint/DebugBlueprintTest.java,46,// END SNIPPET: example
camel-core/src/main/java/org/apache/camel/component/bean/MethodInfo.java,429,"                    String[] parameters = StringQuoteHelper.splitSafeQuote(methodParameters, ',', false);"
camel-core/src/main/java/org/apache/camel/util/StringHelper.java,84,"        if (s.startsWith(""'"") && s.endsWith(""'"")) {"
camel-core/src/main/java/org/apache/camel/util/StringHelper.java,85,"            return s.substring(1, s.length() - 1);"
camel-core/src/main/java/org/apache/camel/util/StringHelper.java,87,"        if (s.startsWith(""\"""") && s.endsWith(""\"""")) {"
camel-core/src/main/java/org/apache/camel/util/StringHelper.java,88,"            return s.substring(1, s.length() - 1);"
camel-core/src/main/java/org/apache/camel/processor/RedeliveryErrorHandler.java,329,"                boolean sync = deliverToFailureProcessor(target, exchange, data, callback);"
camel-core/src/main/java/org/apache/camel/processor/RedeliveryErrorHandler.java,499,"            deliverToFailureProcessor(target, exchange, data, callback);"
camel-core/src/main/java/org/apache/camel/processor/RedeliveryErrorHandler.java,764,"    protected boolean deliverToFailureProcessor(final Processor processor, final Exchange exchange,"
camel-core/src/main/java/org/apache/camel/processor/RedeliveryErrorHandler.java,774,"        final boolean shouldHandle = shouldHandled(exchange, data);"
camel-core/src/test/java/org/apache/camel/processor/BeanWithExceptionTest.java,92,"                errorHandler(deadLetterChannel(""mock:error""));"
camel-core/src/test/java/org/apache/camel/processor/BeanWithExceptionTest.java,93,
camel-core/src/test/java/org/apache/camel/processor/SplitterTest.java,249,"                errorHandler(deadLetterChannel(""mock:failed"").maximumRedeliveries(0));"
camel-core/src/test/java/org/apache/camel/processor/SplitterTest.java,250,                // we don't want the DLC to handle the Exception
camel-core/src/test/java/org/apache/camel/processor/SplitterTest.java,251,                onException(CamelException.class).handled(false);
camel-core/src/test/java/org/apache/camel/processor/onexception/OnExceptionComplexRouteTest.java,50,        try {
camel-core/src/test/java/org/apache/camel/processor/onexception/OnExceptionComplexRouteTest.java,51,"            template.sendBody(""direct:start"", ""<order><type>myType</type><user>Func</user></order>"");"
camel-core/src/test/java/org/apache/camel/processor/onexception/OnExceptionComplexRouteTest.java,52,"            fail(""Should have thrown a MyFunctionalException"");"
camel-core/src/test/java/org/apache/camel/processor/onexception/OnExceptionComplexRouteTest.java,53,        } catch (RuntimeCamelException e) {
camel-core/src/test/java/org/apache/camel/processor/onexception/OnExceptionComplexRouteTest.java,54,"            assertIsInstanceOf(MyFunctionalException.class, e.getCause());"
camel-core/src/test/java/org/apache/camel/processor/onexception/OnExceptionComplexRouteTest.java,55,        }
components/camel-ftp/src/test/java/org/apache/camel/component/file/remote/FromFtpDoNotDeleteFileIfProcessFailsTest.java,83,"                errorHandler(deadLetterChannel(""mock:error"").maximumRedeliveries(2).redeliveryDelay(0));"
components/camel-ftp/src/test/java/org/apache/camel/component/file/remote/FromFtpDoNotDeleteFileIfProcessFailsTest.java,84,                onException(IllegalArgumentException.class).handled(false);     // DLC should not handle
components/camel-ftp/src/test/java/org/apache/camel/component/file/remote/FromFtpThirdPoolOkTest.java,42,"        deleteDirectory(""target/thridpool"");"
components/camel-ftp/src/test/java/org/apache/camel/component/file/remote/FromFtpThirdPoolOkTest.java,70,"                errorHandler(deadLetterChannel(""mock:error"").maximumRedeliveries(0).logStackTrace(false));"
components/camel-ftp/src/test/java/org/apache/camel/component/file/remote/FromFtpThirdPoolOkTest.java,71,                onException(IllegalArgumentException.class).handled(false);     // DLC should not handle
components/camel-mail/src/test/java/org/apache/camel/component/mail/MailDoNotDeleteIfProcessFailsTest.java,83,"                errorHandler(deadLetterChannel(""mock:error"").maximumRedeliveries(0).logStackTrace(false));"
