File,LineNumber,src
java/engine/org/apache/derby/impl/sql/compile/ConditionalNode.java,209,  FromList fromList) throws StandardException
java/engine/org/apache/derby/impl/sql/compile/ConditionalNode.java,217,"    fromList, new SubqueryList(), new Vector());"
java/engine/org/apache/derby/impl/sql/compile/ConditionalNode.java,221,"    fromList, new SubqueryList(), new Vector());"
java/engine/org/apache/derby/impl/sql/compile/ConditionalNode.java,260,"    findType(((ConditionalNode)thenNode).thenElseList, fromList);"
java/engine/org/apache/derby/impl/sql/compile/ConditionalNode.java,269,"    findType(((ConditionalNode)elseNode).thenElseList, fromList);"
java/engine/org/apache/derby/impl/sql/compile/ConditionalNode.java,391,"   recastNullNodes(thenElseList, findType(thenElseList, fromList));"
java/engine/org/apache/derby/impl/sql/compile/ConditionalNode.java,394,"  thenElseList.bindExpression(fromList,"
java/engine/org/apache/derby/impl/sql/compile/ConditionalNode.java,395,"   subqueryList,"
java/engine/org/apache/derby/impl/sql/compile/ConditionalNode.java,396,   aggregateVector);
java/engine/org/apache/derby/impl/sql/compile/ConditionalNode.java,397,
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1733,  //eg if getTables is called to only look for table types 'S' and
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1734,"  //'A', then 'S' will be used for first ? in TABLETYPE IN (?, ?, ?, ?)"
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1735,"  //'A' will be used for second ? in TABLETYPE IN (?, ?, ?, ?) and"
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1736,  //NULL will be used for third and fourth ?s in
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1738,"  //If the user hasn't asked for any specific table types, then the"
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1739,"  //""else"" statement below will kick in. When the control comes to"
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1740,"  //""else"" statement, it means that the user wants to see all the"
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1741,"  //table types supported by Derby. And hence, we simply set first"
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1742,"  //? to 'T', second ? to 'S', third ? to 'V' and fourth ? to 'A'."
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1743,"  //When a new table type is added to Derby in future, we will have"
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1744,"  //to do another setString for that in the ""else"" statement for that"
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1745,  //new table type.
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1746,  if (types != null  &&  types.length >= 1) {
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1747,   int i=0;
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1748,   final int numberOfTableTypesInDerby = 4;
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1749,   for (; i<types.length; i++){
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1750,    /*
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1751,     * Let's assume for now that the table type first char
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1752,     * corresponds to JBMS table type identifiers.
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1753,     *
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1754,     * The reason I have i+4 is because there are already 3 ?s in
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1755,     * the getTables sql before the ?s in the IN clause. Hence
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1756,     * setString for table types should be done starting 4th
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1757,     * parameter.
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1758,     */
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1759,"    s.setString(i+4, types[i].substring(0, 1));"
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1760,   }
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1761,   for (; i<numberOfTableTypesInDerby; i++) {
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1762,"    s.setNull(i+4, Types.CHAR);"
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1763,   }
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1764,  } else {
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1765,"   s.setString(4, ""T"");"
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1766,"   s.setString(5, ""S"");"
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1767,"   s.setString(6, ""V"");"
java/engine/org/apache/derby/impl/jdbc/EmbedDatabaseMetaData.java,1768,"   s.setString(7, ""A"");"
java/testing/org/apache/derbyTesting/junit/JDBC.java,69,     * just synonyms. Need work around for DERBY-1790 where
java/testing/org/apache/derbyTesting/junit/JDBC.java,70,     * passing a table type of SYNONYM fails.
java/testing/org/apache/derbyTesting/junit/JDBC.java,73,"        new String[] {""AA_DERBY-1790-SYNONYM""};"
java/engine/org/apache/derby/iapi/sql/dictionary/TableDescriptor.java,234,  //quoteStringIfNecessary is for bug 3476. If the schemaName and/or tableName has
java/engine/org/apache/derby/iapi/sql/dictionary/TableDescriptor.java,235,"  //double quotes in it, this method will put them in quotes and replace every"
java/engine/org/apache/derby/iapi/sql/dictionary/TableDescriptor.java,236,  //double quote with 2 double quotes.
java/engine/org/apache/derby/iapi/sql/dictionary/TableDescriptor.java,237,"  return quoteStringIfNecessary(getSchemaName()) + ""."" +"
java/engine/org/apache/derby/iapi/sql/dictionary/TableDescriptor.java,238,   quoteStringIfNecessary(getName());
java/engine/org/apache/derby/iapi/sql/dictionary/TableDescriptor.java,252, private String quoteStringIfNecessary(String name)
java/engine/org/apache/derby/iapi/sql/dictionary/TableDescriptor.java,258,   return name;
java/engine/org/apache/derby/impl/sql/compile/ConcatenationOperatorNode.java,205,     DataTypeDescriptor.getBuiltInDataTypeDescriptor(
java/engine/org/apache/derby/impl/sql/compile/ConcatenationOperatorNode.java,206,"       Types.VARCHAR, true, tc"
java/engine/org/apache/derby/impl/sql/compile/ConcatenationOperatorNode.java,207,         .getCastToCharWidth(leftOperand
java/engine/org/apache/derby/impl/sql/compile/ConcatenationOperatorNode.java,208,"           .getTypeServices())),"
java/engine/org/apache/derby/impl/sql/compile/ConcatenationOperatorNode.java,218,     DataTypeDescriptor.getBuiltInDataTypeDescriptor(
java/engine/org/apache/derby/impl/sql/compile/ConcatenationOperatorNode.java,219,"       Types.VARCHAR, true, tc"
java/engine/org/apache/derby/impl/sql/compile/ConcatenationOperatorNode.java,220,         .getCastToCharWidth(rightOperand
java/engine/org/apache/derby/impl/sql/compile/ConcatenationOperatorNode.java,221,"           .getTypeServices())),"
java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java,457,    private ValueNode castArgToNationalString(
java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java,458,"    ValueNode       vn,"
java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java,459,"    TypeCompiler    vnTC,"
java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java,460,    TypeId          vnTypeId)
java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java,461,        throws StandardException
java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java,462,    {
java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java,463,        ValueNode newNode =  (ValueNode)
java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java,464,            getNodeFactory().getNode(
java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java,465,"                C_NodeTypes.CAST_NODE,"
java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java,466,"                vn,"
java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java,467,"                new DataTypeDescriptor(vnTypeId,"
java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java,468,"                true,"
java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java,469,"                vnTC.getCastToCharWidth(vn.getTypeServices())),"
java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java,470,                getContextManager());
