File,LineNumber,src
src/main/org/codehaus/groovy/runtime/DefaultGroovyMethods.java,4325,            } else if (element.getClass().isArray()) {
src/main/org/codehaus/groovy/runtime/DefaultGroovyMethods.java,4354,            } else if (element.getClass().isArray()) {
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,815,        loop.getBooleanExpression().visit(this);
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,816,"        mv.visitJumpInsn(IFEQ, breakLabel);"
src/main/org/codehaus/groovy/classgen/AsmClassGenerator.java,3589,"            parameters = new Parameter[]{new Parameter(ClassHelper.OBJECT_TYPE, ""it"", ConstantExpression.NULL)};"
src/main/groovy/xml/dom/DOMCategory.java,32,
src/main/groovy/xml/dom/DOMCategory.java,45,
src/main/groovy/xml/dom/DOMCategory.java,46,"    private static Object get(Element element, String elementName) {"
src/main/groovy/xml/dom/DOMCategory.java,50,"    private static Object get(NodeList nodeList, String elementName) {"
src/main/groovy/xml/dom/DOMCategory.java,54,"    private static Object get(NamedNodeMap nodeMap, String elementName) {"
src/main/groovy/xml/dom/DOMCategory.java,76,"                addResult(results, get(node, elementName));"
src/main/groovy/xml/dom/DOMCategory.java,32,/*
src/main/groovy/xml/dom/DOMCategory.java,33,"    public static Object get(Object o, String elementName) {"
src/main/groovy/xml/dom/DOMCategory.java,34,        if (o instanceof Element) {
src/main/groovy/xml/dom/DOMCategory.java,35,"            return get((Element) o, elementName);"
src/main/groovy/xml/dom/DOMCategory.java,36,        }
src/main/groovy/xml/dom/DOMCategory.java,37,        if (o instanceof NodeList) {
src/main/groovy/xml/dom/DOMCategory.java,38,"            return get((NodeList) o, elementName);"
src/main/groovy/xml/dom/DOMCategory.java,39,        }
src/main/groovy/xml/dom/DOMCategory.java,40,        if (o instanceof NamedNodeMap) {
src/main/groovy/xml/dom/DOMCategory.java,41,"            return get((NamedNodeMap) o, elementName);"
src/main/groovy/xml/dom/DOMCategory.java,42,        }
src/main/groovy/xml/dom/DOMCategory.java,43,"        return InvokerHelper.getProperty(o, elementName);"
src/main/groovy/xml/dom/DOMCategory.java,44,    }
src/main/groovy/xml/dom/DOMCategory.java,45,*/
src/main/org/codehaus/groovy/control/StaticImportVisitor.java,126,"                    if (inSpecialConstructorCall || currentClass.hasPossibleStaticMethod(methodName, args)) {"
src/main/groovy/util/XmlNodePrinter.java,28,import org.codehaus.groovy.runtime.InvokerHelper;
src/main/groovy/util/XmlNodePrinter.java,29,
src/main/groovy/util/XmlNodePrinter.java,66,    public String getNameOfNode(Node node) {
src/main/groovy/util/XmlNodePrinter.java,67,        if (node == null) {
src/main/groovy/util/XmlNodePrinter.java,68,"            throw new IllegalArgumentException(""Node must not be null!"");"
src/main/groovy/util/XmlNodePrinter.java,69,        }
src/main/groovy/util/XmlNodePrinter.java,70,        Object name = node.name();
src/main/groovy/util/XmlNodePrinter.java,71,        if (name instanceof QName) {
src/main/groovy/util/XmlNodePrinter.java,72,            QName qname = (QName) name;
src/main/groovy/util/XmlNodePrinter.java,73,            if (!namespaceAware) {
src/main/groovy/util/XmlNodePrinter.java,74,                return qname.getLocalPart();
src/main/groovy/util/XmlNodePrinter.java,75,            }
src/main/groovy/util/XmlNodePrinter.java,76,            return qname.getQualifiedName();
src/main/groovy/util/XmlNodePrinter.java,77,        }
src/main/groovy/util/XmlNodePrinter.java,78,        return name.toString();
src/main/groovy/util/XmlNodePrinter.java,79,    }
src/main/groovy/util/XmlNodePrinter.java,80,
src/main/groovy/util/XmlNodePrinter.java,81,    public boolean isEmptyElement(Node node) {
src/main/groovy/util/XmlNodePrinter.java,82,        if (node == null) {
src/main/groovy/util/XmlNodePrinter.java,83,"            throw new IllegalArgumentException(""Node must not be null!"");"
src/main/groovy/util/XmlNodePrinter.java,84,        }
src/main/groovy/util/XmlNodePrinter.java,85,        if (!node.children().isEmpty()) {
src/main/groovy/util/XmlNodePrinter.java,86,            return false;
src/main/groovy/util/XmlNodePrinter.java,87,        }
src/main/groovy/util/XmlNodePrinter.java,88,        return node.text().length() == 0;
src/main/groovy/util/XmlNodePrinter.java,89,    }
src/main/groovy/util/XmlNodePrinter.java,90,
src/main/groovy/util/XmlNodePrinter.java,138,            out.print(getNameOfNode(node));
src/main/groovy/util/XmlNodePrinter.java,142,            printNameAttributes(node.attributes());
src/main/groovy/util/XmlNodePrinter.java,211,    private void printSimpleItemWithIndent(Object value) {
src/main/groovy/util/XmlNodePrinter.java,212,        out.incrementIndent();
src/main/groovy/util/XmlNodePrinter.java,213,        printSimpleItem(value);
src/main/groovy/util/XmlNodePrinter.java,214,        out.decrementIndent();
src/main/groovy/util/XmlNodePrinter.java,215,    }
src/main/groovy/util/XmlNodePrinter.java,216,
src/main/groovy/util/XmlNodePrinter.java,219,        printEscaped(InvokerHelper.toString(value));
src/main/groovy/util/XmlNodePrinter.java,236,        out.print(getNameOfNode(node));
src/main/groovy/util/XmlNodePrinter.java,241,            printNameAttributes(node.attributes());
src/main/groovy/util/XmlNodePrinter.java,247,    protected void printNameAttributes(Map attributes) {
src/main/groovy/util/XmlNodePrinter.java,254,            out.print(entry.getKey().toString());
src/main/groovy/util/XmlNodePrinter.java,300,    protected boolean printSpecialNode(Node node) {
src/main/groovy/util/XmlNodePrinter.java,301,        return false;
src/main/groovy/util/XmlNodePrinter.java,302,    }
src/main/groovy/util/XmlNodePrinter.java,303,
src/main/groovy/util/XmlNodePrinter.java,304,"    protected void printNamespace(Node node, NamespaceContext ctx) {"
src/main/groovy/util/XmlNodePrinter.java,305,        Object name = node.name();
src/main/groovy/util/XmlNodePrinter.java,306,        if (name instanceof QName && namespaceAware) {
src/main/groovy/util/XmlNodePrinter.java,307,            QName qname = (QName) name;
src/main/groovy/util/XmlNodePrinter.java,308,            String namespaceUri = qname.getNamespaceURI();
src/main/groovy/util/XmlNodePrinter.java,309,            if (namespaceUri != null) {
src/main/groovy/util/XmlNodePrinter.java,310,                String prefix = qname.getPrefix();
src/main/groovy/util/XmlNodePrinter.java,311,                if (!ctx.isNamespaceRegistered(namespaceUri)) {
src/main/groovy/util/XmlNodePrinter.java,312,"                    ctx.registerNamespacePrefix(namespaceUri, prefix);"
src/main/groovy/util/XmlNodePrinter.java,313,"                    out.print("" "");"
src/main/groovy/util/XmlNodePrinter.java,314,"                    out.print(""xmlns"");"
src/main/groovy/util/XmlNodePrinter.java,315,                    if (prefix.length() > 0) {
src/main/groovy/util/XmlNodePrinter.java,316,"                        out.print("":"");"
src/main/groovy/util/XmlNodePrinter.java,317,                        out.print(prefix);
src/main/groovy/util/XmlNodePrinter.java,318,                    }
src/main/groovy/util/XmlNodePrinter.java,319,"                    out.print(""="" + quote);"
src/main/groovy/util/XmlNodePrinter.java,320,                    out.print(namespaceUri);
src/main/groovy/util/XmlNodePrinter.java,321,                    out.print(quote);
src/main/groovy/util/XmlNodePrinter.java,322,                }
src/main/groovy/util/XmlNodePrinter.java,323,            }
src/main/groovy/util/XmlNodePrinter.java,324,        }
src/main/groovy/util/XmlNodePrinter.java,325,    }
src/main/groovy/util/XmlNodePrinter.java,326,
src/main/org/codehaus/groovy/classgen/Verifier.java,427,            }
src/main/org/codehaus/groovy/classgen/Verifier.java,428,            else {
src/main/org/codehaus/groovy/classgen/Verifier.java,439,           || statement instanceof ThrowStatement
src/main/org/codehaus/groovy/classgen/Verifier.java,440,                ) {
src/main/org/codehaus/groovy/classgen/Verifier.java,450,            return new ReturnStatement(expStmt.getExpression());
src/main/org/codehaus/groovy/classgen/Verifier.java,1001,            if (node.implementsInterface(testNode)) return true;
src/main/groovy/lang/ExpandoMetaClass.java,980,            if(name.length() > 0 && Character.isUpperCase(name.charAt(0))) return true;
src/main/groovy/lang/ExpandoMetaClass.java,984,            if(name.length() > 0 && Character.isUpperCase(name.charAt(0))) return true;
