File,LineNumber,src
src/main/org/codehaus/groovy/ant/Groovyc.java,661,"                    } else if (key.indexOf(""nowarn"") != -1) {"
src/main/org/codehaus/groovy/ant/Groovyc.java,662,"                        jointOptions.add(""-Fnowarn"" + e.getValue());"
src/main/org/codehaus/groovy/ant/Groovyc.java,673,"                        jointOptions.add(""-J"" + key + ""="" + e.getValue());"
src/main/org/codehaus/groovy/runtime/callsite/CallSite.java,337,"        public final Object call(Object receiver, Object[] args) {"
src/main/org/codehaus/groovy/runtime/callsite/CallSite.java,338,"            return defaultCall(receiver, args);"
src/main/org/codehaus/groovy/runtime/callsite/CallSite.java,339,        }
src/main/org/codehaus/groovy/runtime/callsite/CallSite.java,340,
src/main/org/codehaus/groovy/runtime/callsite/CallSite.java,348,
src/main/org/codehaus/groovy/runtime/callsite/CallSite.java,349,"        public final Object callStatic(Object receiver, Object[] args) {"
src/main/org/codehaus/groovy/runtime/callsite/CallSite.java,350,"            return defaultCallStatic(receiver, args);"
src/main/org/codehaus/groovy/runtime/callsite/CallSite.java,351,        }
src/main/org/codehaus/groovy/runtime/callsite/StaticMetaMethodSite.java,52,"          return defaultCallStatic(receiver, args);"
src/test/org/codehaus/groovy/classgen/JO.java,23,"        ASMifierClassVisitor.main(new String[]{""target/test-classes/spectralnorm.class""});"
src/main/org/codehaus/groovy/classgen/Verifier.java,794,        if (!mr.isDerivedFrom(testmr)) {
src/main/org/codehaus/groovy/classgen/Verifier.java,852,
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,46,"        t = traverse((GroovySourceAST)t,l,null);"
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,52,"        t = traverse((GroovySourceAST)t,null,itr);"
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,64,        if (t == null) { return t; }
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,66,        // first visit of node
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,67,        if (l != null) {
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,68,"            l.add(new LineColumn(t.getLine(),t.getColumn()));"
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,69,        }
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,71,        // second vist of node
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,72,        if (itr != null && itr.hasNext()) {
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,73,            LineColumn lc = (LineColumn)itr.next();
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,74,            if (t.getLineLast() == 0) {
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,75,                int nextLine = lc.getLine();
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,76,                int nextColumn = lc.getColumn();
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,77,                if (nextLine < t.getLine() || (nextLine == t.getLine() && nextColumn < t.getColumn())) {
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,78,                    nextLine = t.getLine();
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,79,                    nextColumn = t.getColumn();
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,80,                }
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,81,                t.setLineLast(nextLine);
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,82,                t.setColumnLast(nextColumn);
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,83,"                // This is a good point to call t.setSnippet(),"
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,84,                // but it bulks up the AST too much for production code.
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,85,            }
src/main/org/codehaus/groovy/antlr/AntlrASTProcessSnippets.java,86,        }
