File,LineNumber,src
hbase-client/src/test/java/org/apache/hadoop/hbase/client/TestAsyncProcess.java,583,"  public void testErrorsServers() throws InterruptedIOException,"
hbase-client/src/test/java/org/apache/hadoop/hbase/client/TestAsyncProcess.java,584,      RetriesExhaustedWithDetailsException {
hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncProcess.java,501,      this.hasError.set(true);
hbase-server/src/main/java/org/apache/hadoop/hbase/master/HMaster.java,3136,"      tableNames.add(TableName.valueOf(name, descriptor.getNameAsString()));"
hbase-it/src/test/java/org/apache/hadoop/hbase/IntegrationTestLazyCfLoading.java,170,  };
hbase-it/src/test/java/org/apache/hadoop/hbase/IntegrationTestManyRegions.java,88,"      LOG.info(String.format(""Existing table %s deleted.""));"
hbase-it/src/test/java/org/apache/hadoop/hbase/IntegrationTestsDriver.java,105,    for (int i = 0; i < classes.length; i++) {
hbase-it/src/test/java/org/apache/hadoop/hbase/IntegrationTestsDriver.java,106,"      LOG.info(""  "" + classes[i]);"
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/actions/Action.java,59,  public void perform() throws Exception { };
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/actions/AddColumnAction.java,34,  private final Random random;
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/actions/AddColumnAction.java,40,    this.random = new Random();
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/actions/CompactTableAction.java,27,* Created by eclark on 8/12/13.
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/actions/CompactTableAction.java,28,*/
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/actions/RemoveColumnAction.java,61,    while(protectedColumns.contains(columnDescriptors[index].getNameAsString())) {
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/actions/RestartRandomRsAction.java,25,* Created by eclark on 8/12/13.
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/actions/RestartRandomRsAction.java,26,*/
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,33, * A utility to injects faults in a running cluster.
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,34, * <p>
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,35," * ChaosMonkey defines Action's and Policy's. Actions are sequences of events, like"
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,36, *  - Select a random server to kill
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,37, *  - Sleep for 5 sec
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,38, *  - Start the server on the same host
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,39," * Actions can also be complex events, like rolling restart of all of the servers."
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,40, * <p>
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,41, * Policies on the other hand are responsible for executing the actions based on a strategy.
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,42, * The default policy is to execute a random action every minute based on predefined action
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,43, * weights. ChaosMonkey executes predefined named policies until it is stopped. More than one
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,44, * policy can be active at any time.
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,45, * <p>
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,46," * Chaos monkey can be run from the command line, or can be invoked from integration tests."
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,47, * See {@link org.apache.hadoop.hbase.IntegrationTestIngest} or other integration tests that use
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,48, * chaos monkey for code examples.
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,49, * <p>
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,50, * ChaosMonkey class is indeed inspired by the Netflix's same-named tool:
hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/monkies/PolicyBasedChaosMonkey.java,51, * http://techblog.netflix.com/2012/07/chaos-monkey-released-into-wild.html
hbase-it/src/test/java/org/apache/hadoop/hbase/mapreduce/IntegrationTestBulkLoad.java,332,    public LinkKey() {
hbase-it/src/test/java/org/apache/hadoop/hbase/mapreduce/IntegrationTestBulkLoad.java,333,
hbase-it/src/test/java/org/apache/hadoop/hbase/mapreduce/IntegrationTestBulkLoad.java,334,    }
hbase-it/src/test/java/org/apache/hadoop/hbase/mapreduce/IntegrationTestBulkLoad.java,335,
hbase-it/src/test/java/org/apache/hadoop/hbase/mapreduce/IntegrationTestBulkLoad.java,376,    public LinkChain() {
hbase-it/src/test/java/org/apache/hadoop/hbase/mapreduce/IntegrationTestBulkLoad.java,377,    }
hbase-it/src/test/java/org/apache/hadoop/hbase/mapreduce/IntegrationTestBulkLoad.java,378,
hbase-it/src/test/java/org/apache/hadoop/hbase/mapreduce/IntegrationTestBulkLoad.java,419,      int partition = hash % numPartitions;
hbase-it/src/test/java/org/apache/hadoop/hbase/mapreduce/IntegrationTestBulkLoad.java,420,      return partition;
hbase-it/src/test/java/org/apache/hadoop/hbase/mapreduce/IntegrationTestImportTsv.java,342,      fout.close();
hbase-it/src/test/java/org/apache/hadoop/hbase/mttr/IntegrationTestMTTR.java,448,      return rs != null && result != null && result.size() > 0;
hbase-it/src/test/java/org/apache/hadoop/hbase/mttr/IntegrationTestMTTR.java,513,      int recordSize = 500;
hbase-it/src/test/java/org/apache/hadoop/hbase/mttr/IntegrationTestMTTR.java,524,"            ""-write"", String.format(""%d:%d:%d"", colsPerKey, recordSize, writeThreads),"
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestBigLinkedList.java,207,    public static enum Counts {
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestBigLinkedList.java,208,"      UNREFERENCED, UNDEFINED, REFERENCED, CORRUPT"
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestBigLinkedList.java,209,    }
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestBigLinkedList.java,210,
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestBigLinkedList.java,325,      Random rand = new Random();
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestBigLinkedList.java,353,      };
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestBigLinkedList.java,357,      };
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestBigLinkedList.java,596,"            context.write(new Text(keyString), new Text(refsSb.toString()));"
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestBigLinkedList.java,1070,    return null;
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestBigLinkedList.java,1074,"      Integer width, Integer wrapMuplitplier) {"
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestBigLinkedList.java,1078,"      job.getConfiguration().setInt(GENERATOR_WIDTH_KEY, width.intValue());"
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestBigLinkedList.java,1080,    if (wrapMuplitplier != null) {
