File,LineNumber,src
ql/src/java/org/apache/hadoop/hive/ql/parse/ColumnStatsSemanticAnalyzer.java,344,  private int getNumBitVectorsForNDVEstimation(HiveConf conf) {
ql/src/java/org/apache/hadoop/hive/ql/parse/ColumnStatsSemanticAnalyzer.java,348,    if (percentageError <= 2.4) {
ql/src/java/org/apache/hadoop/hive/ql/parse/ColumnStatsSemanticAnalyzer.java,354,    } else if (percentageError <= 6.8) {
ql/src/java/org/apache/hadoop/hive/ql/exec/AbstractMapJoinOperator.java,89,"    JoinUtil.populateJoinKeyValue(joinKeys, conf.getKeys(),order,NOTSKIPBIGTABLE);"
ql/src/java/org/apache/hadoop/hive/ql/exec/CommonJoinOperator.java,250,"        order,NOTSKIPBIGTABLE);"
ql/src/java/org/apache/hadoop/hive/ql/exec/CommonJoinOperator.java,254,"    JoinUtil.populateJoinKeyValue(joinFilters, conf.getFilters(),order,NOTSKIPBIGTABLE);"
ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableSinkOperator.java,74,  protected transient int posBigTableTag = -1; // one of the tables that is not in memory
ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableSinkOperator.java,189,    posBigTableTag = conf.getPosBigTable();
ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableSinkOperator.java,193,    posBigTableAlias = order[posBigTableTag];
ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableSinkOperator.java,194,
ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableSinkOperator.java,205,"    JoinUtil.populateJoinKeyValue(joinKeys, conf.getKeys(), order, posBigTableAlias);"
ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableSinkOperator.java,213,"    JoinUtil.populateJoinKeyValue(joinValues, conf.getExprs(), order, posBigTableAlias);"
ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableSinkOperator.java,221,"    JoinUtil.populateJoinKeyValue(joinFilters, conf.getFilters(), order, posBigTableAlias);"
ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableSinkOperator.java,262,      if (pos == posBigTableTag) {
ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableSinkOperator.java,316,      alias = order[tag];
ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableSinkOperator.java,317,      // alias = (byte)tag;
ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableSinkOperator.java,328,"      HashMapWrapper<AbstractMapJoinKey, MapJoinObjectValue> hashTable = mapJoinTables"
ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableSinkOperator.java,329,          .get((byte) tag);
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinUtil.java,110,
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinUtil.java,112,
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinUtil.java,113,"    Iterator<Map.Entry<Byte, List<ExprNodeDesc>>> entryIter = inputMap"
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinUtil.java,114,        .entrySet().iterator();
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinUtil.java,115,    while (entryIter.hasNext()) {
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinUtil.java,116,"      Map.Entry<Byte, List<ExprNodeDesc>> e = entryIter.next();"
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinUtil.java,117,      Byte key = order[e.getKey()];
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinUtil.java,118,
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinUtil.java,120,
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinUtil.java,121,      List<ExprNodeDesc> expr = e.getValue();
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinUtil.java,122,      int sz = expr.size();
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinUtil.java,123,      total += sz;
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinUtil.java,124,
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinUtil.java,125,      for (int j = 0; j < sz; j++) {
