File,LineNumber,src
src/org/jruby/evaluator/ASTInterpreter.java,823,            if (result instanceof RubyModule) {
src/org/jruby/evaluator/ASTInterpreter.java,824,                return ((RubyModule) result).fastGetConstantFrom(iVisited.getName());
src/org/jruby/evaluator/ASTInterpreter.java,825,            } else {
src/org/jruby/evaluator/ASTInterpreter.java,826,"                return result.callMethod(context, iVisited.getName(), IRubyObject.NULL_ARRAY, aBlock);"
src/org/jruby/util/ZlibDeflate.java,115,        byte[] outp = new byte[1024];
src/org/jruby/util/ZlibInflate.java,89,        byte[] outp = new byte[1024];
src/org/jruby/RubySymbol.java,261,            return length > 1 && isSpecialGlobalName(s.substring(1));
src/org/jruby/Ruby.java,826,
src/org/jruby/Ruby.java,827,        // Initialize all the core classes
src/org/jruby/Ruby.java,828,        bootstrap();
src/org/jruby/Ruby.java,851,        initRoot();
src/org/jruby/runtime/Constants.java,59,"            properties.load(Constants.class.getResourceAsStream(""/jruby.properties""));"
src/org/jruby/RubyFileStat.java,367,        return getRuntime().newBoolean(getRuntime().getPosix().lstat(file.getAbsolutePath()).isSymlink());
src/org/jruby/RubyFile.java,539,        int owner = (int) arg1.convertToInteger().getLongValue();
src/org/jruby/RubyFile.java,540,        int group = (int) arg2.convertToInteger().getLongValue();
src/org/jruby/RubyFile.java,541,
src/org/jruby/RubyFile.java,572,        int owner = (int) arg1.convertToInteger().getLongValue();
src/org/jruby/RubyFile.java,573,        int group = (int) arg2.convertToInteger().getLongValue();
src/org/jruby/RubyFile.java,574,
src/org/jruby/RubyFile.java,747,
src/org/jruby/RubyFile.java,749,        RubyInteger owner = args[0].convertToInteger();
src/org/jruby/RubyFile.java,750,        RubyInteger group = args[1].convertToInteger();
src/org/jruby/RubyFile.java,758,"            boolean result = 0 == runtime.getPosix().chown(filename.toString(), (int)owner.getLongValue(), (int)group.getLongValue());"
src/org/jruby/RubyFile.java,1266,        RubyInteger owner = args[0].convertToInteger();
src/org/jruby/RubyFile.java,1267,        RubyInteger group = args[1].convertToInteger();
src/org/jruby/RubyFile.java,1275,"            boolean result = 0 == runtime.getPosix().lchown(filename.toString(), (int)owner.getLongValue(), (int)group.getLongValue());"
src/org/jruby/RubyKernel.java,682,        recv.getRuntime().secure(4);
src/org/jruby/RubyKernel.java,694,        throw recv.getRuntime().newSystemExit(status);
src/org/jruby/RubyKernel.java,695,    }
src/org/jruby/RubyKernel.java,696,
src/org/jruby/RubyKernel.java,697,"    @JRubyMethod(name = ""exit!"", optional = 1, module = true, visibility = Visibility.PRIVATE)"
src/org/jruby/RubyKernel.java,698,"    public static IRubyObject exit_bang(IRubyObject recv, IRubyObject[] args) {"
src/org/jruby/RubyKernel.java,699,        // This calls normal exit() on purpose because we should probably not expose System.exit(0)
src/org/jruby/RubyKernel.java,700,"        return exit(recv, args);"
src/org/jruby/RubyIO.java,815,"                    modes = getIOModes(getRuntime(), (args[1].convertToString().toString()));"
src/org/jruby/RubyStringIO.java,86,    // FIXME: Replace these with common IOModes instance and make IOModes work for this and IO.
src/org/jruby/RubyStringIO.java,89,    private boolean append = false;
src/org/jruby/RubyStringIO.java,92,"    public IRubyObject initialize(IRubyObject[] args, Block block) {"
src/org/jruby/RubyStringIO.java,93,        if (args.length > 0) {
src/org/jruby/RubyStringIO.java,94,            // Share bytelist since stringio is acting on this passed-in string.
src/org/jruby/RubyStringIO.java,95,            internal = args[0].convertToString();
src/org/jruby/RubyStringIO.java,96,            if (args.length > 1) {
src/org/jruby/RubyStringIO.java,98,                    // FIXME: We should use this somehow. yes?
src/org/jruby/RubyStringIO.java,99,                    //int numericModes = RubyNumeric.fix2int(args[1]);
src/org/jruby/RubyStringIO.java,100,
src/org/jruby/RubyStringIO.java,102,                String modes = args[1].convertToString().toString();
src/org/jruby/RubyStringIO.java,103,
src/org/jruby/RubyStringIO.java,104,                setupModes(modes);
src/org/jruby/RubyStringIO.java,106,        } else {
src/org/jruby/RubyStringIO.java,107,"            internal = getRuntime().newString("""");"
src/org/jruby/RubyStringIO.java,108,        }
src/org/jruby/RubyStringIO.java,120,        if (append) {
src/org/jruby/RubyStringIO.java,362,        if (append) {
src/org/jruby/RubyStringIO.java,561,
src/org/jruby/RubyStringIO.java,563,            setupModes(args[1].convertToString().toString());
src/org/jruby/RubyStringIO.java,564,        } else {
src/org/jruby/RubyStringIO.java,565,            // reset modes to default if none specified
src/org/jruby/RubyStringIO.java,566,"            setupModes("""");"
src/org/jruby/RubyStringIO.java,569,        if (internal.isFrozen() && (closedRead || append)) {
src/org/jruby/RubyStringIO.java,573,        if (closedRead) {
src/org/jruby/RubyStringIO.java,692,"        if (closedRead) throw getRuntime().newIOError(""not opened for reading"");"
src/org/jruby/RubyStringIO.java,697,"        if (closedWrite) throw getRuntime().newIOError(""not opened for writing"");"
src/org/jruby/RubyStringIO.java,702,    private void setupModes(String modes) {
src/org/jruby/RubyStringIO.java,705,        append = false;
src/org/jruby/RubyStringIO.java,707,"        if (modes.contains(""r"")) closedWrite = true;"
src/org/jruby/RubyStringIO.java,708,"        if (modes.contains(""w"")) closedRead = true;"
src/org/jruby/RubyStringIO.java,709,"        if (modes.contains(""a"")) append = true;"
src/org/jruby/RubyZlib.java,590,"        @JRubyMethod(name = ""wrap"", required = 2, frame = true, meta = true)"
src/org/jruby/RubyZlib.java,591,"        public static IRubyObject wrap(ThreadContext context, IRubyObject recv, IRubyObject io, IRubyObject proc, Block unusedBlock) throws IOException {"
src/org/jruby/RubyZlib.java,592,"            if (!(io instanceof RubyGzipFile)) throw recv.getRuntime().newTypeError(io, (RubyClass)recv);"
src/org/jruby/RubyZlib.java,593,            if (!proc.isNil()) {
src/org/jruby/RubyZlib.java,595,"                    ((RubyProc)proc).call(context, new IRubyObject[]{io});"
src/org/jruby/RubyZlib.java,597,                    RubyGzipFile zipIO = (RubyGzipFile)io;
src/org/jruby/RubyZlib.java,598,                    if (!zipIO.isClosed()) {
src/org/jruby/RubyZlib.java,599,                        zipIO.close();
src/org/jruby/RubyZlib.java,600,                    }
src/org/jruby/RubyZlib.java,602,                return recv.getRuntime().getNil();
src/org/jruby/RubyZlib.java,604,
src/org/jruby/RubyZlib.java,729,"            IRubyObject proc = block.isGiven() ? runtime.newProc(Block.Type.PROC, block) : runtime.getNil();"
src/org/jruby/RubyZlib.java,730,"            RubyGzipReader io = newInstance(recv,"
src/org/jruby/RubyZlib.java,731,"                    new IRubyObject[]{ runtime.getFile().callMethod(context, ""open"","
src/org/jruby/RubyZlib.java,732,"                            new IRubyObject[]{filename, runtime.newString(""rb"")})}, block);"
src/org/jruby/RubyZlib.java,733,
src/org/jruby/RubyZlib.java,734,"            return RubyGzipFile.wrap(context, recv, io, proc, null);"
src/org/jruby/RubyZlib.java,983,"            IRubyObject proc = block.isGiven() ? runtime.newProc(Block.Type.PROC, block) : runtime.getNil();"
src/org/jruby/RubyZlib.java,984,            RubyGzipWriter io = newGzipWriter(
src/org/jruby/RubyZlib.java,985,"                    recv,"
src/org/jruby/RubyZlib.java,986,                    new IRubyObject[]{ runtime.getFile().callMethod(
src/org/jruby/RubyZlib.java,987,"                            context,"
