File,LineNumber,src
src/org/jruby/RubyStruct.java,84,"        // TODO: NOT_ALLOCATABLE_ALLOCATOR may be ok here, but it's unclear how Structs"
src/org/jruby/RubyStruct.java,85,        // work with marshalling. Confirm behavior and ensure we're doing this correctly. JRUBY-415
src/org/jruby/RubyStruct.java,492,"    public IRubyObject op_equal(ThreadContext context, IRubyObject other) {"
src/org/jruby/RubyStruct.java,497,        Ruby runtime = getRuntime();
src/org/jruby/RubyStruct.java,498,        RubyStruct otherStruct = (RubyStruct)other;
src/org/jruby/RubyStruct.java,499,        for (int i = 0; i < values.length; i++) {
src/org/jruby/RubyStruct.java,500,"            if (!equalInternal(context, values[i], otherStruct.values[i])) return runtime.getFalse();"
src/org/jruby/RubyStruct.java,501,        }
src/org/jruby/RubyStruct.java,502,        return runtime.getTrue();
src/org/jruby/RubyStruct.java,506,"    public IRubyObject eql_p(ThreadContext context, IRubyObject other) {"
src/org/jruby/RubyStruct.java,511,        Ruby runtime = getRuntime();
src/org/jruby/RubyStruct.java,512,        RubyStruct otherStruct = (RubyStruct)other;
src/org/jruby/RubyStruct.java,513,        for (int i = 0; i < values.length; i++) {
src/org/jruby/RubyStruct.java,514,"            if (!eqlInternal(context, values[i], otherStruct.values[i])) return runtime.getFalse();"
src/org/jruby/RubyStruct.java,515,        }
src/org/jruby/RubyStruct.java,516,        return runtime.getTrue();
src/org/jruby/RubyInstanceConfig.java,1405,    /**
src/org/jruby/RubyInstanceConfig.java,1406,     * Inline dynamic calls.
src/org/jruby/RubyInstanceConfig.java,1407,     *
src/org/jruby/RubyInstanceConfig.java,1408,     * Set with the <tt>jruby.compile.inlineDyncalls</tt> system property.
src/org/jruby/RubyInstanceConfig.java,1409,     */
src/org/jruby/RubyInstanceConfig.java,1410,    public static boolean INLINE_DYNCALL_ENABLED
src/org/jruby/RubyInstanceConfig.java,1411,            = FASTEST_COMPILE_ENABLED || Options.COMPILE_INLINEDYNCALLS.load();
src/org/jruby/RubyInstanceConfig.java,1412,
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,656,        if (RubyInstanceConfig.INLINE_DYNCALL_ENABLED && closureArg == null) {
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,657,            if (callType == CallType.FUNCTIONAL || callType == CallType.VARIABLE) {
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,658,                if (argsCallback == null) {
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,659,                    invokeDynamicSelfNoBlockZero(name);
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,660,                    return;
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,661,                } else if (argsCallback.getArity() >= 1 && argsCallback.getArity() <= 3) {
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,662,"                    invokeDynamicSelfNoBlockSpecificArity(name, argsCallback);"
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,663,                    return;
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,664,                }
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,665,//            } else if (callType == CallType.NORMAL) {
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,666,//                if (argsCallback == null) {
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,667,"//                    invokeDynamicNoBlockZero(name, receiverCallback);"
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,668,//                    return;
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,669,//                } else if (argsCallback.getArity() >= 1 && argsCallback.getArity() <= 3) {
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,670,"//                    invokeDynamicNoBlockSpecificArity(name, receiverCallback, argsCallback);"
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,671,//                    return;
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,672,//                }
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,673,            }
src/org/jruby/compiler/impl/StandardInvocationCompiler.java,674,        }
src/org/jruby/util/cli/ArgumentProcessor.java,397,                        RubyInstanceConfig.FASTOPS_COMPILE_ENABLED = true;
src/org/jruby/util/cli/ArgumentProcessor.java,398,                        RubyInstanceConfig.FASTSEND_COMPILE_ENABLED = true;
src/org/jruby/util/cli/ArgumentProcessor.java,399,                        RubyInstanceConfig.INLINE_DYNCALL_ENABLED = true;
src/org/jruby/util/cli/Options.java,76,"    public static final Option<Boolean> COMPILE_INLINEDYNCALLS = bool(COMPILER, ""compile.inlineDyncalls"", false, ""Emit method lookup + invoke inline in bytecode."");"
src/org/jruby/RubyArray.java,1486,            // safe for both 1.9 and 1.8
src/org/jruby/RubyArray.java,1487,            str.cat19(str2);
src/org/jruby/RubyEnumerable.java,1735,
src/org/jruby/RubyEnumerable.java,1736,"    @JRubyMethod(name = ""join"", compat = CompatVersion.RUBY1_9)"
src/org/jruby/RubyEnumerable.java,1737,"    public static IRubyObject join(ThreadContext context, IRubyObject self) {"
src/org/jruby/RubyEnumerable.java,1738,"        return join(context, self, context.getRuntime().getGlobalVariables().get(""$,""));"
src/org/jruby/RubyEnumerable.java,1739,    }
src/org/jruby/RubyEnumerable.java,1740,
src/org/jruby/RubyEnumerable.java,1741,"    @JRubyMethod(name = ""join"", compat = CompatVersion.RUBY1_9)"
src/org/jruby/RubyEnumerable.java,1742,"    public static IRubyObject join(ThreadContext context, IRubyObject self, final IRubyObject sep) {"
src/org/jruby/RubyEnumerable.java,1743,"        return ((RubyArray)to_a19(context, self)).join19(context, sep);"
src/org/jruby/RubyEnumerable.java,1744,    }
src/org/jruby/ast/DefinedNode.java,86,        try {
src/org/jruby/ast/DefinedNode.java,87,            context.setWithinDefined(true);
src/org/jruby/ast/DefinedNode.java,88,"            ByteList definition = expressionNode.definition(runtime, context, self, aBlock);"
src/org/jruby/ast/DefinedNode.java,89,"            return definition != null ? RubyString.newStringShared(runtime, definition) : runtime.getNil();"
src/org/jruby/ast/DefinedNode.java,90,        } finally {
