File,LineNumber,src
modules/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/hhmm/SegGraph.java,78,    short index = 0;
lucene/src/test-framework/org/apache/lucene/util/_TestUtil.java,57,"    return new File(LuceneTestCase.TEMP_DIR, desc + ""."" + new Random().nextLong());"
lucene/src/test/org/apache/lucene/index/TestCompoundFile.java,60,"       File file = new File(TEMP_DIR, ""testIndex"");"
lucene/src/test/org/apache/lucene/index/TestCompoundFile.java,61,       _TestUtil.rmDir(file);
lucene/src/test/org/apache/lucene/index/TestCompoundFile.java,69,"       _TestUtil.rmDir(new File(TEMP_DIR, ""testIndex""));"
lucene/src/test/org/apache/lucene/index/TestDoc.java,63,"        workDir = new File(TEMP_DIR,""TestDoc"");"
lucene/src/test/org/apache/lucene/index/TestDoc.java,66,"        indexDir = new File(workDir, ""testIndex"");"
lucene/src/test/org/apache/lucene/index/TestFieldsReader.java,289,"    File file = new File(TEMP_DIR, ""lazyDir"" + userName);"
lucene/src/test/org/apache/lucene/index/TestFieldsReader.java,290,    _TestUtil.rmDir(file);
lucene/src/test/org/apache/lucene/index/TestFieldsReader.java,476,"    File indexDir = new File(TEMP_DIR, ""testfieldswriterexceptions"");"
lucene/src/test/org/apache/lucene/index/TestIndexReader.java,1142,"      File dirFile = new File(TEMP_DIR, ""deletetest"");"
lucene/src/test/org/apache/lucene/index/TestIndexReaderReopen.java,1093,"    indexDir = new File(TEMP_DIR, ""IndexReaderReopen"");"
lucene/src/test/org/apache/lucene/index/TestIndexWriter.java,2758,"    Directory dir = newFSDirectory(new File(TEMP_DIR, ""emptyFSDirNoLock""), NoLockFactory.getNoLockFactory());"
lucene/src/test/org/apache/lucene/index/TestIndexWriterLockRelease.java,42,"            this.__test_dir = new File(TEMP_DIR, ""testIndexWriter"");"
lucene/src/test/org/apache/lucene/index/TestIndexWriterOnJRECrash.java,44,"    tempDir = File.createTempFile(""jrecrash"", ""tmp"", TEMP_DIR);"
lucene/src/test/org/apache/lucene/index/TestLongPostings.java,70,"    Directory dir = newFSDirectory(new File(LuceneTestCase.TEMP_DIR, ""longpostings"" + ""."" + random.nextLong()));"
lucene/src/test/org/apache/lucene/store/TestBufferedIndexInput.java,243,"      File indexDir = new File(TEMP_DIR, ""testSetBufferSize"");"
lucene/src/test/org/apache/lucene/store/TestDirectory.java,45,"    File path = new File(TEMP_DIR, ""testDirectInstantiation"");"
lucene/src/test/org/apache/lucene/store/TestDirectory.java,137,"    checkDirectoryFilter(newFSDirectory(new File(TEMP_DIR,""test"")));"
lucene/src/test/org/apache/lucene/store/TestDirectory.java,154,"    File path = new File(TEMP_DIR, ""testsubdir"");"
lucene/src/test/org/apache/lucene/store/TestDirectory.java,167,"    File path = new File(TEMP_DIR, ""testnotdir"");"
lucene/src/test/org/apache/lucene/store/TestMultiMMap.java,44,"      workDir = new File(TEMP_DIR, ""TestMultiMMap"");"
lucene/src/test/org/apache/lucene/store/TestRAMDirectory.java,52,"    indexDir = new File(TEMP_DIR, ""RAMDirIndex"");"
lucene/src/test/org/apache/lucene/store/TestWindowsMMap.java,62,"    new File(TEMP_DIR,""testLuceneMmap"").getAbsolutePath();"
lucene/src/java/org/apache/lucene/util/AttributeSource.java,150,    if (hasAttributes()) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,151,      if (currentState == null) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,152,        computeCurrentState();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,153,      }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,154,      final State initState = currentState;
lucene/src/java/org/apache/lucene/util/AttributeSource.java,228,        this.currentState = null;
lucene/src/java/org/apache/lucene/util/AttributeSource.java,286,
lucene/src/java/org/apache/lucene/util/AttributeSource.java,287,  /**
lucene/src/java/org/apache/lucene/util/AttributeSource.java,288,   * This class holds the state of an AttributeSource.
lucene/src/java/org/apache/lucene/util/AttributeSource.java,289,   * @see #captureState
lucene/src/java/org/apache/lucene/util/AttributeSource.java,290,   * @see #restoreState
lucene/src/java/org/apache/lucene/util/AttributeSource.java,291,   */
lucene/src/java/org/apache/lucene/util/AttributeSource.java,292,  public static final class State implements Cloneable {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,293,    AttributeImpl attribute;
lucene/src/java/org/apache/lucene/util/AttributeSource.java,294,    State next;
lucene/src/java/org/apache/lucene/util/AttributeSource.java,296,    @Override
lucene/src/java/org/apache/lucene/util/AttributeSource.java,297,    public Object clone() {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,298,      State clone = new State();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,299,      clone.attribute = (AttributeImpl) attribute.clone();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,300,
lucene/src/java/org/apache/lucene/util/AttributeSource.java,301,      if (next != null) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,302,        clone.next = (State) next.clone();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,303,      }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,304,
lucene/src/java/org/apache/lucene/util/AttributeSource.java,305,      return clone;
lucene/src/java/org/apache/lucene/util/AttributeSource.java,307,  }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,308,
lucene/src/java/org/apache/lucene/util/AttributeSource.java,309,  private State currentState = null;
lucene/src/java/org/apache/lucene/util/AttributeSource.java,310,
lucene/src/java/org/apache/lucene/util/AttributeSource.java,311,  private void computeCurrentState() {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,312,    currentState = new State();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,313,    State c = currentState;
lucene/src/java/org/apache/lucene/util/AttributeSource.java,320,    }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,328,    if (hasAttributes()) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,329,      if (currentState == null) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,330,        computeCurrentState();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,331,      }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,332,      for (State state = currentState; state != null; state = state.next) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,333,        state.attribute.clear();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,334,      }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,343,    if (!hasAttributes()) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,344,      return null;
lucene/src/java/org/apache/lucene/util/AttributeSource.java,345,    }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,346,
lucene/src/java/org/apache/lucene/util/AttributeSource.java,347,    if (currentState == null) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,348,      computeCurrentState();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,349,    }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,350,    return (State) this.currentState.clone();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,385,    if (hasAttributes()) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,386,      if (currentState == null) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,387,        computeCurrentState();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,388,      }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,389,      for (State state = currentState; state != null; state = state.next) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,390,        code = code * 31 + state.attribute.hashCode();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,391,      }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,393,
lucene/src/java/org/apache/lucene/util/AttributeSource.java,416,        if (this.currentState == null) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,417,          this.computeCurrentState();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,418,        }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,419,        State thisState = this.currentState;
lucene/src/java/org/apache/lucene/util/AttributeSource.java,420,        if (other.currentState == null) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,421,          other.computeCurrentState();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,422,        }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,423,        State otherState = other.currentState;
lucene/src/java/org/apache/lucene/util/AttributeSource.java,476,    if (hasAttributes()) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,477,      if (currentState == null) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,478,        computeCurrentState();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,479,      }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,480,      for (State state = currentState; state != null; state = state.next) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,481,        state.attribute.reflectWith(reflector);
lucene/src/java/org/apache/lucene/util/AttributeSource.java,482,      }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,498,      if (currentState == null) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,499,        computeCurrentState();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,500,      }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,501,      for (State state = currentState; state != null; state = state.next) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,523,    if (hasAttributes()) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,524,      if (currentState == null) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,525,        computeCurrentState();
lucene/src/java/org/apache/lucene/util/AttributeSource.java,526,      }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,527,      for (State state = currentState; state != null; state = state.next) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,528,        final AttributeImpl targetImpl = target.attributeImpls.get(state.attribute.getClass());
lucene/src/java/org/apache/lucene/util/AttributeSource.java,529,        if (targetImpl == null) {
lucene/src/java/org/apache/lucene/util/AttributeSource.java,530,"          throw new IllegalArgumentException(""This AttributeSource contains AttributeImpl of type "" +"
lucene/src/java/org/apache/lucene/util/AttributeSource.java,531,"            state.attribute.getClass().getName() + "" that is not in the target"");"
lucene/src/java/org/apache/lucene/util/AttributeSource.java,532,        }
lucene/src/java/org/apache/lucene/util/AttributeSource.java,533,        state.attribute.copyTo(targetImpl);
lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/QueryNodeImpl.java,163,    return this.tags.containsKey(tagName);
lucene/contrib/highlighter/src/java/org/apache/lucene/search/highlight/TokenSources.java,183,
lucene/contrib/highlighter/src/java/org/apache/lucene/search/highlight/TokenSources.java,192,"        throw new IllegalArgumentException(""Required TermVector Offset information was not found"");"
lucene/contrib/highlighter/src/java/org/apache/lucene/search/highlight/TokenSources.java,208,"          Token token = new Token(terms[t].utf8ToString(), offsets[tp].getStartOffset(), offsets[tp]"
lucene/contrib/highlighter/src/java/org/apache/lucene/search/highlight/TokenSources.java,209,              .getEndOffset());
lucene/contrib/highlighter/src/java/org/apache/lucene/search/highlight/TokenSources.java,224,"          Token token = new Token(terms[t].utf8ToString(), offsets[tp].getStartOffset(),"
lucene/contrib/highlighter/src/java/org/apache/lucene/search/highlight/TokenSources.java,225,              offsets[tp].getEndOffset());
lucene/contrib/highlighter/src/java/org/apache/lucene/search/highlight/TokenSources.java,236,          if (t1.startOffset() == t2.startOffset())
lucene/contrib/highlighter/src/java/org/apache/lucene/search/highlight/TokenSources.java,237,            return t1.endOffset() - t2.endOffset();
lucene/contrib/highlighter/src/java/org/apache/lucene/search/highlight/TokenSources.java,238,          else
lucene/contrib/highlighter/src/java/org/apache/lucene/search/highlight/TokenSources.java,239,            return t1.startOffset() - t2.startOffset();
lucene/contrib/highlighter/src/test/org/apache/lucene/search/highlight/TokenSourcesTest.java,89,"          new Token(new char[] { 't', 'h', 'e' }, 0, 3, 0, 3),"
lucene/contrib/highlighter/src/test/org/apache/lucene/search/highlight/TokenSourcesTest.java,90,"          new Token(new char[] { '{', 'f', 'o', 'x', '}' }, 0, 5, 0, 7),"
lucene/contrib/highlighter/src/test/org/apache/lucene/search/highlight/TokenSourcesTest.java,91,"          new Token(new char[] { 'f', 'o', 'x' }, 0, 3, 4, 7),"
lucene/contrib/highlighter/src/test/org/apache/lucene/search/highlight/TokenSourcesTest.java,92,"          new Token(new char[] { 'd', 'i', 'd' }, 0, 3, 8, 11),"
lucene/contrib/highlighter/src/test/org/apache/lucene/search/highlight/TokenSourcesTest.java,93,"          new Token(new char[] { 'n', 'o', 't' }, 0, 3, 12, 15),"
lucene/contrib/highlighter/src/test/org/apache/lucene/search/highlight/TokenSourcesTest.java,94,"          new Token(new char[] { 'j', 'u', 'm', 'p' }, 0, 4, 16, 20) };"
lucene/src/java/org/apache/lucene/store/Directory.java,227,    IndexOutput os = to.createOutput(dest);
lucene/src/java/org/apache/lucene/store/Directory.java,228,    IndexInput is = openInput(src);
lucene/contrib/xml-query-parser/src/java/org/apache/lucene/xmlparser/builders/UserInputQueryBuilder.java,77,"   q.setBoost(DOMUtils.getAttribute(e,""boost"",1.0f));"
lucene/src/java/org/apache/lucene/index/IndexWriter.java,848,
lucene/src/java/org/apache/lucene/index/IndexWriter.java,849,    writeLock = directory.makeLock(WRITE_LOCK_NAME);
lucene/src/java/org/apache/lucene/index/IndexWriter.java,850,
lucene/src/java/org/apache/lucene/index/IndexWriter.java,851,    if (!writeLock.obtain(conf.getWriteLockTimeout())) // obtain write lock
lucene/src/java/org/apache/lucene/index/IndexWriter.java,852,"      throw new LockObtainFailedException(""Index locked for write: "" + writeLock);"
lucene/src/java/org/apache/lucene/index/IndexWriter.java,853,
lucene/src/java/org/apache/lucene/store/FSDirectory.java,471,              parent.onIndexOutputClosed(this);
lucene/src/java/org/apache/lucene/store/FSDirectory.java,475,          } else
modules/queryparser/src/java/org/apache/lucene/queryparser/surround/query/BasicQueryFactory.java,48,  private synchronized void checkMax() throws TooManyBasicQueries {
modules/queryparser/src/java/org/apache/lucene/queryparser/surround/query/BasicQueryFactory.java,49,    if (queriesMade >= maxBasicQueries)
modules/queryparser/src/java/org/apache/lucene/queryparser/surround/query/ComposedQuery.java,27,"  public ComposedQuery(List qs, boolean operatorInfix, String opName) {"
modules/queryparser/src/java/org/apache/lucene/queryparser/surround/query/ComposedQuery.java,33,  protected void recompose(List queries) {
modules/queryparser/src/java/org/apache/lucene/queryparser/surround/query/ComposedQuery.java,38,  private String opName;
modules/queryparser/src/java/org/apache/lucene/queryparser/surround/query/ComposedQuery.java,41,  private List queries;
modules/queryparser/src/java/org/apache/lucene/queryparser/surround/query/ComposedQuery.java,43,  public Iterator getSubQueriesIterator() {return queries.listIterator();}
modules/queryparser/src/java/org/apache/lucene/queryparser/surround/query/ComposedQuery.java,47,  public SrndQuery getSubQuery(int qn) {return (SrndQuery) queries.get(qn);}
modules/queryparser/src/java/org/apache/lucene/queryparser/surround/query/ComposedQuery.java,54,    Iterator sqi = getSubQueriesIterator();
modules/queryparser/src/java/org/apache/lucene/queryparser/surround/query/ComposedQuery.java,56,"      luceneSubQueries.add( ((SrndQuery) sqi.next()).makeLuceneQueryField(fn, qf));"
modules/queryparser/src/java/org/apache/lucene/queryparser/surround/query/ComposedQuery.java,80,    Iterator sqi = getSubQueriesIterator();
modules/queryparser/src/java/org/apache/lucene/queryparser/surround/query/ComposedQuery.java,95,    Iterator sqi = getSubQueriesIterator();
modules/queryparser/src/java/org/apache/lucene/queryparser/surround/query/ComposedQuery.java,112,    Iterator sqi = getSubQueriesIterator();
modules/queryparser/src/java/org/apache/lucene/queryparser/surround/query/ComposedQuery.java,114,      if (((SrndQuery) sqi.next()).isFieldsSubQueryAcceptable()) {
