File,LineNumber,src
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/image/Image.java,101,"  setImageResourceReference(resourceReference,resourceParameters);"
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/image/Image.java,157,  this.localizedImageResource.setResource(imageResource);
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/image/Image.java,166,  this.localizedImageResource.setResourceReference(resourceReference);
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/image/Image.java,172,  * @param parameters
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/image/Image.java,173,  *      Set the resource parameters for the resource.
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/image/Image.java,175," public void setImageResourceReference(final ResourceReference resourceReference, final ValueMap parameters)"
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/image/Image.java,177,"  this.localizedImageResource.setResourceReference(resourceReference,parameters);"
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/image/Image.java,234,
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/image/Image.java,236,"  * @see org.apache.wicket.Component#onComponentTagBody(MarkupStream, ComponentTag)"
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,158,"  String path = Strings.replaceAll(getPath(), ""%3A"", "":"").toString();"
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,221,
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,223,
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,434,"  return ""[method = "" + httpServletRequest.getMethod() + "", protocol = """
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,435,"    + httpServletRequest.getProtocol() + "", requestURL = """
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,436,"    + httpServletRequest.getRequestURL() + "", contentType = """
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,437,"    + httpServletRequest.getContentType() + "", contentLength = """
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,438,"    + httpServletRequest.getContentLength() + "", contextPath = """
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,439,"    + httpServletRequest.getContextPath() + "", pathInfo = """
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,440,"    + httpServletRequest.getPathInfo() + "", requestURI = """
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,441,"    + httpServletRequest.getRequestURI() + "", servletPath = """
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,442,"    + httpServletRequest.getServletPath() + "", pathTranslated = """
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,443,"    + httpServletRequest.getPathTranslated() + ""]"";"
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,457,
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,460,   this.previousUrlDepth = getRequestParameters().getUrlDepth();
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,461,
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.java,121,  response.write(getComponentMarkupId());
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.java,154,  String widgetId = getComponentMarkupId();
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.java,350,  * Gets the DOM id that the calendar widget will get attached to.
