File,LineNumber,src
wicket-request/src/main/java/org/apache/wicket/request/mapper/CompoundRequestMapper.java,46, private static class MapperWithScore implements Comparable<MapperWithScore>
wicket-request/src/main/java/org/apache/wicket/request/mapper/CompoundRequestMapper.java,59,   return o.compatibilityScore - compatibilityScore;
wicket-core/src/main/java/org/apache/wicket/Component.java,2213,
wicket-core/src/main/java/org/apache/wicket/Component.java,2214,  // check authorization
wicket-core/src/main/java/org/apache/wicket/Component.java,2215,  // first the component itself
wicket-core/src/main/java/org/apache/wicket/Component.java,2216,  // (after attach as otherwise list views etc wont work)
wicket-core/src/main/java/org/apache/wicket/Component.java,2217,  setRenderAllowed();
wicket-core/src/main/java/org/apache/wicket/validation/validator/UrlValidator.java,430,    if (topLevel.length() < 2 || topLevel.length() > 4)
wicket-core/src/test/java/org/apache/wicket/validation/validator/UrlValidatorTest.java,303,"   new ResultPair("".aaa"", false), new ResultPair(""aaa"", true)"
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/modal/ModalWindow.java,1054,"    pageUrl = RequestCycle.get().urlFor(page.getClass(), page.getPageParameters());"
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/modal/ModalWindow.java,1059,    pageUrl = RequestCycle.get().urlFor(handler);
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/modal/ModalWindow.java,1060,    String ie8_pageUrl = RequestCycle.get().mapUrlFor(handler).toString();
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,19,import static org.junit.Assert.assertFalse;
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,20,
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,30,import org.apache.wicket.util.tester.WicketTester;
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,31,import org.junit.After;
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,32,import org.junit.Before;
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,40,public class ComponentIsRenderedAllowedTest
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,42, private WicketTester tester;
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,43,
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,44, /** */
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,45, @Before
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,46, public void setupTester()
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,47, {
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,48,  tester = new WicketTester(new SecuredApplication());
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,49, }
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,50,
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,51, /** */
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,52, @After
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,53, public void destroyTester()
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,55,  tester.destroy();
wicket-core/src/test/java/org/apache/wicket/authorization/ComponentIsRenderedAllowedTest.java,56,  tester = null;
wicket-core/src/main/java/org/apache/wicket/Component.java,974,  // check authorization
wicket-core/src/main/java/org/apache/wicket/Component.java,975,  setRenderAllowed();
wicket-core/src/main/java/org/apache/wicket/Component.java,976,
wicket-util/src/main/java/org/apache/wicket/util/crypt/AbstractCrypt.java,70,"   log.error(""Error decoding text: "" + text, ex);"
wicket-util/src/main/java/org/apache/wicket/util/crypt/AbstractCrypt.java,72,  return null;
wicket-core/src/main/java/org/apache/wicket/util/tester/WicketTester.java,19,import static junit.framework.Assert.*;
wicket-core/src/main/java/org/apache/wicket/util/tester/WicketTester.java,359," public void assertFeedback(String path, String[] messages)"
wicket-core/src/main/java/org/apache/wicket/util/tester/WicketTester.java,376,   final String actual = renderedMessages.get(i).getMessage().toString();
wicket-core/src/main/java/org/apache/wicket/util/tester/WicketTester.java,377,"   assertResult(isEqual(expected, actual));"
wicket-core/src/main/java/org/apache/wicket/request/mapper/AbstractBookmarkableMapper.java,354,   if (!pageMustHaveBeenCreatedBookmarkable() || page.wasCreatedBookmarkable())
wicket-core/src/main/java/org/apache/wicket/request/mapper/MountedMapper.java,371,   Class<? extends IRequestablePage> pageClass = page.getClass();
wicket-core/src/main/java/org/apache/wicket/request/mapper/MountedMapper.java,372,   if (checkPageClass(pageClass))
wicket-core/src/main/java/org/apache/wicket/resource/aggregation/AbstractResourceAggregatingHeaderResponse.java,326,"  topLevelReferences.add(new ResourceReferenceAndStringData(null, null, url, null,"
wicket-core/src/main/java/org/apache/wicket/resource/aggregation/AbstractResourceAggregatingHeaderResponse.java,361,"  topLevelReferences.add(new ResourceReferenceAndStringData(reference, null, null, media,"
wicket-core/src/main/java/org/apache/wicket/resource/aggregation/AbstractResourceAggregatingHeaderResponse.java,362,"   ResourceType.CSS, false, null, condition));"
wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/tree/table/MiddleColumnsView.java,166,  nf.setMaximumIntegerDigits(2);
wicket-core/src/main/java/org/apache/wicket/serialize/java/JavaSerializer.java,242,   super(out);
wicket-core/src/main/java/org/apache/wicket/serialize/java/JavaSerializer.java,246,  protected final void writeObjectOverride(final Object obj) throws IOException
wicket-core/src/main/java/org/apache/wicket/serialize/java/JavaSerializer.java,250,    super.writeObject(obj);
wicket-core/src/main/java/org/apache/wicket/serialize/java/JavaSerializer.java,275,   super.flush();
wicket-core/src/main/java/org/apache/wicket/serialize/java/JavaSerializer.java,281,   super.close();
testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/ResourceTestPage.java,34,import com.sun.image.codec.jpeg.JPEGCodec;
testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/ResourceTestPage.java,35,import com.sun.image.codec.jpeg.JPEGImageEncoder;
testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/ResourceTestPage.java,73,    JPEGImageEncoder encoder = JPEGCodec.createJPEGEncoder(baos);
testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/ResourceTestPage.java,76,     encoder.encode(image);
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,101,"    generateCallbackScript(""Wicket.Ajax.get('"" + getCallbackUrl() +"
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,102,"     ""&save=true&'+this.name+'='+Wicket.Form.encode(this.value)"") +"
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,103,"    ""; return false;}"";"
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,106,"    generateCallbackScript(""Wicket.Ajax.get('"" + getCallbackUrl() + ""&save=false'"") +"
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,107,"    ""; return false;}"";"
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,394,   initLabelAndEditor(getDelegatingParentModel());
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,408,   initLabelAndEditor(getDelegatingParentModel());
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,423,   initLabelAndEditor(getDelegatingParentModel());
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,513,  * get a model that accesses the parent model lazily. this is required since we eventually
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,514,  * request the parents model before the component is added to the parent.
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,515,  *
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,516,  * @return model
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,518, private IModel<T> getDelegatingParentModel()
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,520,  return new IModel<T>()
wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,522,   private static final long serialVersionUID = 1L;
